first_release_date,genres,id,name,platforms,rating,storyline,summary
1016755200,"[9, 31]",24869,Resident Evil,[21],88.51719434479675,Special forces STARS Bravo teams helicopter malfunctioned and crashed during their mission disappearing into the Arklay Mountains Now STARS Alpha team is sent on a mission to investigate a series of murders around Raccoon Forest Spotting the Bravo teams helicopter or whats left of it they land nearby and investigate the surrounding area Unaware of what they might expect one member is attacked and devoured by zombified Dobermans The rest of the team with a little bit of luck find shelter in a nearby mansion not knowing it was probably better to stay out,Resident Evil is the 2002 remake of the original 1996 video game of the same name featuring various improvements and gameplay overhaul The game features allnew graphics and sound and also incorporates gameplay elements from the earlier installments While the overall plot remained mostly unchanged several new areas and rooms were added to the game This remake also features many additional modes secrets and various endings over the original
1017100800,"[5, 31]",152,Star Wars: Jedi Knight II - Jedi Outcast,"[6, 11, 14, 21, 48, 130]",84.76934222812231,Missing,In the tradition of the highly acclaimed Star Wars Jedi Knight series Star Wars Jedi Knight 2 Jedi Outcast features rebel agent Kyle Katarn in exhilarating firstperson action Several years have passed since Kyle avenged his fathers death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi Allowing his Force powers to languish for fear of falling to the dark side Kyle entrusted his lightsaber to Luke Skywalker vowing never to use it again But when a new and menacing threat to the galaxy emerges Kyle knows he must reclaim his past in order to save his future  Explore breathtaking Star Wars locales such as Cloud City the Jedi Academy on Yavin 4 Nar Shaddaa and the smugglers moon Multiplayer options include deathmatch saberonly deathmatch and team capture the flag
1016409600,[14],4102,Sega Soccer Slam,"[8, 11, 12, 21]",78.9965419333105,Missing,In Sega Soccer Slam youll unleash merciless kicks tackles and steals against excitable colorful characters from all over the world Each character in this game wields special powers and moves that earn the big score Get to the random spotlight that appears on the field and your character will shoot skyward with the ball and slam it toward the unsuspecting goalie In quest mode you can unlock secret stadiums and uncover hidden items to improve your already stellar performance Watch the intensity rise as you utilize your new power moves in other game modes If youre a little rusty on the field practice mode will get you going again When youre confident in your smash mouth hits and soccer tackles throw in some bad weather and gather up a bunch of friends for a rowdy roundrobin tournament
1017273600,"[11, 15]",8498,Army Men: RTS,"[6, 8, 21]",77.4215902352507,Missing,The neverending war between the Greens and the Tans is reinforced with new strategies and tactics as this release in 3DOs Army Men series garrisons on the GameCube Army Men RTS features true 3D graphics and plays out across a variety of familiar reallife environments transformed to demanding battlegrounds by the perspective of the little plastic soldiers The original PC version of this game was developed by Pandemic the experienced realtime strategy developers of Dark Reign 2 and Battlezone II games and Army Men RTS is built on a version of the Dark Reign 2 game engine
1015718400,"[12, 25]",1345,Enclave,"[5, 6, 11, 21]",77.38409679344453,Missing,Experience incredibly atmospheric and intense medieval combat action Go ahead and enter a new world the awardwinning world of Enclave  The people of Light and Darkness are divided by a bottomless rift that split the earth many millennia ago The lands of light are an Enclave of truth and order surrounded by the twisted and barren lands of the dark known as the Outlands Over the centuries the rift has started to close  And now it is only a matter of time before the forces of Light and Darkness will clash in an unprecedented merciless struggle for survival Remember When a storm comes up for some its better to keep out of its way while for others its time to block its path
1016496000,[4],18054,Bloody Roar: Primal Fury,[21],74.03980081578487,Missing,Bloody Roar Extreme also known as Bloody Roar Primal Fury outside of Japan is a fighting game It is an updated version of the PS2 game Bloody Roar 3 Players can control a number of characters which have the ability to morph into powerful animals such as tigers and wolves
1016668800,[31],3823,Blood Omen 2: Legacy of Kain,"[6, 8, 11, 21]",73.8853925298489,400 years have passed since the vampire Kain damned the world in the original Blood Omen choosing to rule the world in damnation rather than die for its salvation Now Kain who once controlled the land of Nosgoth with his vampire armies finds his brethren slain and his dark powers stripped by a mysterious figure To reclaim his rule and exact his vengeance Kain must dispatch armies of zealot soldiers and overcome legions of demons in order to uncover the ominous plot that threatens the land he seeks to conquer,Blood Omen 2 the second instalment in the Legacy of Kain Series is a 3rd person 3D actioncombat game in which you assume the role of the vampire Kain A compelling story takes you through huge lushly detailed 3D environments and challenges your skills in combat puzzle solving stealth and exploration With each success youll gain new dark gifts that will grant Kain the ability to access treacherous new areas to explore and the power to face stronger more aggressive enemies As you develop a stronger more skilled vampire youll be rewarded with dozens of dazzling ingame cinematic sequences that unfold the continuing epic of Nosgoth and Kains attempts to ultimately rule over it
1016755200,"[9, 15, 33]",4236,Worms Blast,"[6, 8, 14, 21, 82]",64.30677827610069,Missing,Fall in line for fast furious fire fights with Worms Blast Your mission launch your worm marine into hostile waters and blast your way to survival through intense puzzle action Take the big chunk of puzzlestyled gameplay and slice into 60 funsized missions
1016064000,[25],50583,Mystic Heroes,"[8, 21]",57.0,Long ago in a legendary land Emperor Kang and his wife Sheva ruled with an iron fist Tai and Naja two elite mystics sealed them away in Mt Houshin thus restoring peace But Kangs son Cyrus built up an army to battle the mystics in an attempt to free his father At this time two more mystics Shiga and Lani joined the fight alongside Tai and Naja The four mystics along with their friends once again saved the land and returned the peace Now Emperor Kang Sheva and Generals Grifon and Kai start to plan their escape Grifon brings up the existence of something known as the Dragon Star which could free them So Kang calls upon the powers of the Dragon Star and he along with all of his minions are set free giving Kang the chance to rise once again to dominate the land,Mystic Heroes is a fighting action game similar to Koeis Dynasty Warriors Players can perform melee attacks and element spells which become more powerful with continuous use The game has eight stages  There are four playable characters and four unlockable characters in the PS2 version for a total of eight The game features a singleplayer story mode and three additional singleplayer modes as well as coop and versus multiplayer
1015459200,[14],4206,Top Angler: Real Bass Fishing,"[8, 21]",40.0,Missing,The game is a realtime bass fishing simulator The season and time of each stage are dictated by the internal clock of the players console
1016582400,[4],4082,Rave Master,[21],33.0,Missing,Rave Master the video game is a fighting game based on the manga and anime The game allows you to create your own original story scenarios when playing in Story Edit Mode You can also battle with your friends when playing in the 4player vs Mode The game features multiple attack combos weapons and unique attacks for each character and special visual and audio effects that come directly from the animated series
1016150400,"[5, 10, 13]",12844,RoboCop,"[6, 8, 11, 21]",31.0,Missing,RoboCop allows the player to play as RoboCop and to uncover a sinister plot involving OCP local gangsters dealing a deadly new synthetic drug and a powerful cyborg known only as MIND As a last hope RoboCop must capture destroy or arrest hostile characters in a desperate search for clues and evidence
1016409600,[14],3947,Home Run King,[21],31.0,Missing,Home Run King is a baseball game exclusively for the GameCube
