id_game,id_video
8864,J5RZq7rD-gk
5436,Hzsbjo8gg8o
3708,7H5pYCw4ET4
3707,Bnt0JxytEpo
3706,lnwXbSYcywg
6263,vbGdIdHOO3I
6264,O_01bhmvDiE
6292,aATEgy-3jqU
2231,Z2RlTvdNjzQ
2641,6UNn6EIRsL0
14725,0a4IRU2h2N8
14721,fxeNaDjU7sw
14722,UBshR1qD3oU
14724,uaQQJwZpswQ
14726,PTTvQf5BRPw
14723,0hUN_2vS8Ic
14727,M5y03s0-Bbk
20102,52mw02PyooU
75732,DHSH8O4QhlE
2968,iExq5DYSvnA
3778,T85-Obx9iE8
3779,70j3cwePM_0
3244,2UJxaWZoK6Y
2830,rMxEpPCSH5A
6106,Ga98zSE9Q3Y
3648,AXiUYQ8eunw
36142,I4hvoQPwpnE
181,_QpQtN91T-c
20624,jziBvTUdCB0
16542,gF1EQAtaZEo
16588,ArAdN5ilVRs
30066,II5UsqP2JAk
33735,t-BUJoqZRsw
35943,mRj3B3GY9KM
16543,muniWyT4vTg
16589,HfxOtvmpsM8
6133,M-OENu7VCbU
7648,1JRbsxNurGg
7164,G6ddhpgxMqQ
7549,286d1-gkm_s
7146,hh5HV4iic1Y
7649,SL50MitDbys
4426,kzXpLtCJ2E0
11031,HpLCjy_u-7w
4424,BcpbnNYh4Fg
17137,oNDhSYeTiiI
41674,GXlat34jGFk
25732,ygyz3Mqjh0k
26778,GJzcSKyCzZs
17048,iuxijRvPVpk
13293,FBcv5s2X568
13294,IfKwVmqXm04
13295,c3o65Lv7oHc
10418,_K-bRrxOMcI
4889,9loIZxhnmco
4888,obHduLC2cEA
54561,qIQ3xNqkVC4
90278,XrPZSq5YXqc
91323,eAIrrR_YMRc
94257,bgqGdIoa52s
97940,grZigSpVDno
99279,yF60tx4GfN0
99830,9fVYKsEmuRo
80702,fvpu003drCk
20623,f_e-yPeD1sM
16583,k3CqzUCNDjU
32903,Zbq7BnsQhrw
34277,rTNfgIAi3pY
35988,Ur0pQblaZcE
37011,MamonBeCaAQ
40234,fzbrVtHK7tw
7734,HaC6CbImTH8
58890,e74yiV7HNss
20711,3TeWfo_hMKY
17215,rQLQQrDhUAM
4641,3r959FXNmQo
4640,tonV2IWTdp4
87000,4JxtyjVN5YU
40237,eo0k0q7X47w
8125,vlARRglAC4M
8126,Av0DTPSfSTI
29294,DsfKK8uYdY4
1519,GXlat34jGFk
28803,69EBDlnDw2k
149,cq6L1HV5gz4
5370,_DaKYtv4I9I
829,-kfuU0rP0_8
38287,QlXxgUJo71Y
46280,qgbgE2Ia6D0
46281,scgU6fKQ6zI
41676,_IlSa8pwQdk
41742,gWOOcdn7pqU
41744,Z6wbRqm6SPY
41743,_IlSa8pwQdk
41740,uplsUMTJlhI
41741,-mH2SVyBMAQ
37726,6KV4DEn0Cks
78943,F-kJ5TMFrlw
78942,zBoWLvBeLYE
322,hWpz_KUkRuw
63094,tGVlSl6v_7c
63095,TvCnN_f8AAU
63093,GMV8hlQjuj8
12314,qKogMfIAAkY
54525,TjOafJZralM
54524,xxsjXTFXz1I
22115,4RE-cWHtWNE
70608,RRDc68wpbIQ
37059,2TMs2E6cms4
51297,C7NqSTQvRBw
51298,JiqGi3GMTko
21323,_Sn5x1aLrUY
20605,X3ricWI0KHE
21235,utVr-n0MaU0
16591,CtKQwF7E15Q
21605,b5-_MvCWSfI
18907,Sz4JMXUCSK0
22049,q4GdJVvdxss
22002,Gd0IjMXt0U0
22021,L4MTPRu9Pr0
14562,2y3CGcyF7W4
2342,bDS4wV7NFJM
2341,cgQ_c8ybYK4
5446,bIIY9w9Tq-A
5447,jQ8GzLPRqME
1609,kWLivVN849w
72223,cgH1oHxS4cg
831,xhTM4dhwfpw
832,q1nJQfOjq9A
2338,8p5pes28TVs
37727,zrh5STBQ_oU
38299,W8w0zV4tx2s
5184,lZvg1pa1lYw
1021,3EsVfR7aKoY
1227,pYql98tL-t4
582,HhpqvmKZDDM
5953,CNR9omDLdRo
37051,lu5VXrEqgco
2072,FRnIyXvonAU
22423,qEAJZwCOSig
24141,j3eizAihoao
47171,LW7AzOcoEno
41733,fvpu003drCk
29280,unpf72VCGW8
40326,3n1WTytK1Dw
1081,hEXc_g4P_xA
46558,br0rfsCs2sk
28829,JB4WyHe-HRM
12894,DZyXHESAC5U
17134,klKOm1hPGIg
18252,RFgusTYInas
14561,cZUACNN5l00
15941,V89AUq1fttw
18253,8qNxyP6u2Kg
16586,PH54Vv8eVpg
579,jZkX3LJDeYQ
10992,Wb5O_xvUHm4
10991,LDjngttYkas
66180,tonV2IWTdp4
48692,CJhP3zQexEQ
37433,4qlEhkhDxKg
5038,MnMJ0urMz54
36500,8vtrGF0ZTRc
71802,4TqMnjAXShw
2308,w0oxBviRGlU
41739,Z6wbRqm6SPY
10616,_dP0XsM23j0
41629,4FKsVcys3kc
36667,zaGtNS_MvJU
1007,991WcoEPwb8
5157,oNAOQ7arCK4
3758,E8JYB2uiUe0
4421,Na3tbkAoooM
4411,zXLZvsSmBIs
11197,m25MYq9LzKM
8661,DNv8u1TyBaY
1383,iQoLYigS_6g
22998,XBbWnkksW4M
27156,4-S93BigurA
30406,IBrWVHq9q68
17126,GMSI7nS2z-g
14564,tp_aEzZhdVA
14674,daXrZkQv10c
13134,W2iAqPkoZbA
11198,XXh8EfxL94o
40424,IRKbIXb9ShE
40425,WeKQXamdWXw
986,UGH3uG4gGI4
40300,lkbCj82kKik
40299,3ASmIlmgTbE
5208,sh8PXQkspzQ
6184,FVq9gxxYKbw
86284,-N39KO_3gB4
86282,3r5iKpMprqY
86283,vlpbd9S7IDo
2275,NVXGKfxWAI4
2277,ABxvDcPpJHw
2276,c9-hdtsy0fA
3840,6RdbZeOxL2o
5212,7ab_bH_jpso
39544,Kmql0ckTnls
66189,roReTYQ0OuE
1230,Ky-JUL0SDDs
1766,ixTksGs8pxQ
22114,Dn5RtYfX8Q8
80650,YAkyilNmUJc
87687,0cxk6_L6jnw
39216,bDN3aUzyctY
39217,XCkvp2btq9o
86050,QfwrtzUjnjo
550,TRSleENLIjw
49524,2Z-faiAQeuw
6418,GBz0OhAgl2E
6419,OsnBVbgR17c
273,VlfHI4YNWwk
7367,SPy0sPBVfhk
40301,NC2qKy-WMf4
23333,HSgoi3b8eoY
23334,W1FSQCQ53L8
37655,k5-lq-63oKM
7847,WTL4Nx_FJc4
5176,zarpRDUKYnI
5177,bmYeHdwOpfo
1763,Rj-OGTLz-AA
1764,cpGmsaT3ByA
6509,xfG_z1fGKZ0
6508,voXZwYb3Xa8
7507,yHIqTE1wnW4
7643,WFh4kXr-IpU
7506,Eeti22Z5lqw
31646,i-f0PyD4PYI
6129,muk_6PItjKs
4380,iFSf-6m6bEM
7508,kJeAnmfbQp4
3239,1HPsBDc9Fco
3237,im292eu720s
3238,WV_Tqi3e0eI
9769,vKwuYhZZbxY
9684,16_Obhy5OR0
6400,C8XTCkkJ2Pk
8692,nrkYkYc18Fo
10230,gZTLRfS4PGE
11416,JtZEO-oByO0
7760,er-MyRQVHkY
5492,y7vxn-lUEvE
11175,P2j3Tw4NAEQ
22488,UUCZkSrdgUQ
17276,47DKoSDeOUQ
17279,X0w1iPWyoRA
17277,wsGVYFBxY88
17278,98mSNK2UKqg
41628,cLYwHr6tKx8
49558,FuKG8K9dJLU
330,BqaaVPTs8OE
17269,f8JcYPPPFec
17270,5pcRD25ILE0
37695,EFJB6wMYBCM
6665,ECMAh7RJqh8
14087,MRcfGjqVKeU
14086,EhFx83SnsOc
963,u3GbUm_6LnU
49890,c1REMSCQCd8
87941,kg1vmjk6I9M
87942,CYuoJxLm4-Y
33255,BKOn0NZ7Tpc
87041,ZLhbrHynwog
34642,mAuhTHIji_c
34114,jgMP9YIrUUA
41758,dGoz3GhnvwQ
83469,Aa_eefq-_eg
83470,2eqYkoe-Vig
83468,qcF6GPaKcII
83471,agDh8R6eFHc
11159,KngKVAqsE1A
13022,rylerJgR4WY
13023,6BBTzQNF07A
13021,S2NiH53U6Ac
2717,AEV8glOWJTo
92448,_NVk1j5cXcU
54523,kGAwENaJUAo
54522,sFc6s6uhYKY
40332,mk26QVQzVMo
9999,hkvE-aDS5mM
39439,ntHRAueqm3E
47006,wrP9IqkeEls
66250,HAeIrvwHGFc
8073,pWwzum7H4Jg
20804,4nBZ-wZ0Pu0
2243,WV7PsQnGzKI
23062,WbCR4aS0NA4
24695,pf9JwMpUzwI
77144,cL1vzYvtFP0
5371,yMVAocYNRIY
3957,orw3Lu57xdQ
5118,Ecp-RTtmtX8
5116,5Q-p-41_V4Y
5117,7tFkBX1-Hr8
59202,YnlJu553sPk
22773,dDRy3rRJH6E
22772,Op383kZ34_8
22771,1HdSJ6FPQZM
3583,zaOwyYZe7w8
10429,2qvOHnoS8BA
10430,y55kTYE7WtI
10431,cR4cjBQbUe4
10432,tt9-9dj3qfA
10433,KP80mUJnH-U
10428,PkHoyXrW-FY
1751,J3Ud6y0UEdE
30729,zrQ00_wlxBU
29297,6HhiKLAkVBg
31636,TzBRirS7_0s
31431,Gb3CSzByaLA
5280,ctlefthn6H8
10628,9QiaB8eVXaE
6137,0mLgPPSGPoI
73170,qK6DGy1iHwc
67289,zrSWBvNXTuM
34062,dGNbrQM5e54
39290,ZFOugKGWSeE
39291,LRNwgE4iPJg
6800,sxZFD4lT3hg
1424,3X2M7USGkgM
1414,MlNfJvFnzc8
2223,8PDpRGMhdwE
1415,Uibnf_Q_51s
29394,hw7VXjkxjfQ
1586,Fz4VdUQrSb4
1588,dE0YDH9ecTo
16643,te_No0dapPY
71396,ry5ugZBQq5I
1758,W38ycjEvZQw
2723,zasefwWK5fA
2816,1HtU9k9GNlI
6119,sMBxoYyBLwU
46134,3kpAvsVtW4Y
46703,K3Z7gaAgmZc
37318,r_pDTtSCUR0
4732,epC6VVTvFpI
4731,kZk-AcYc1MI
18366,vv5uI2vlXE8
36851,oFOCZ6riK7c
36850,P5ORTIHfBWQ
17900,5s51yQKhLvA
17272,oNcjGAhRBcU
4319,7CYz4whDF-A
4320,ZkqotUfZQZI
4318,y88CebCikLU
2823,fO9bLH6jTr0
4419,jVAxV6gl5fg
39440,KAGs8jd_MH0
5102,EiL-lfDFczo
48748,NVMDYXnDZb8
48747,iB_XcJsWNtg
5151,Cf-aa5RU_VY
4559,lNgf2Ut7INQ
28139,IpKH7E4sSl8
65261,E9dqi2fmnFw
87897,3FmPVatYFvs
87898,Mzo0n528yhE
82959,YV_1elZqxqc
86308,o7Ws6CfWQq4
86309,wenfpUarvJc
86310,-iXmGFp2gvo
30973,u_W5Ug3owmA
